DataSetId,GroupNumber,LowerValue,MeasureCode,PeerGroupCode,PeerGroupName,PeerGroupTypeCode,PeerGroupTypeName,ProxyReportingUnitCode,ProxyReportingUnitName,ProxyReportingUnitTypeCode,ProxyReportingUnitTypeName,ReportedMeasureCode,ReportingUnitCode,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,UpperValue,Value,Caveats,Suppressions
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0017,St Vincent's Hospital [Darlinghurst],H,Hospital,,6.0,,
1,,,MYH0002,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0001,H0020,Canterbury Hospital,H,Hospital,,11.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0021,Royal Prince Alfred Hospital,H,Hospital,,7.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0023,Concord Repatriation Hospital,H,Hospital,,9.0,,
1,,,MYH0002,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0001,H0027,Fairfield Hospital,H,Hospital,,7.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0028,Liverpool Hospital,H,Hospital,,15.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0029,Campbelltown Hospital,H,Hospital,,15.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0030,Bankstown Lidcombe Hospital,H,Hospital,,9.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0032,Bowral Hospital,H,Hospital,,19.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0037,Prince of Wales Hospital,H,Hospital,,12.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0038,St George Hospital NSW,H,Hospital,,11.0,,
1,,,MYH0002,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0001,H0040,Royal Hospital for Women,H,Hospital,,6.0,,
1,,,MYH0002,MJR,Major regional hospitals,PG,Peer Group,,,,,MYH-RM0001,H0046,Shoalhaven Hospital,H,Hospital,,12.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0047,Wollongong Hospital,H,Hospital,,7.0,,
1,,,MYH0002,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0001,H0051,Auburn Hospital,H,Hospital,,11.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0052,Blacktown Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0053,Mount Druitt Hospital,H,Hospital,,18.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0054,Westmead Hospital,H,Hospital,,21.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0055,Blue Mountains Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0056,Nepean Hospital,H,Hospital,,15.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0061,Lithgow Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0065,Hornsby Ku-ring-gai Hospital,H,Hospital,,8.0,,
1,,,MYH0002,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0001,H0066,Manly Hospital,H,Hospital,,7.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0068,Royal North Shore Hospital,H,Hospital,,12.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0070,Ryde Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0071,Gosford Hospital,H,Hospital,,16.0,,
1,,,MYH0002,MJM,Major metropolitan hospitals,PG,Peer Group,,,,,MYH-RM0001,H0074,Wyong Hospital,H,Hospital,,10.0,,
1,,,MYH0002,,,,,,,,,MYH-RM0001,H0084,Moree Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
1,,,MYH0002,MJR,Major regional hospitals,PG,Peer Group,,,,,MYH-RM0001,H0088,Tamworth Hospital,H,Hospital,,9.0,,
1,,,MYH0002,MJR,Major regional hospitals,PG,Peer Group,,,,,MYH-RM0001,H0097,Manning Hospital,H,Hospital,,15.0,,
